Index,Open,High,Low,Close,Volume
2069/12/8,86.6,86.83,86.55,86.69,4187
2069/12/9,86.72,86.72,86.55,86.6,695
2069/12/10,86.65,86.77,86.57,86.63,1764
2069/12/11,86.52,86.53,86.34,86.45,1334
2069/12/12,86.52,86.94,86.49,86.68,1484
2069/12/13,86.68,86.68,85.94,86.1,4793
2069/12/14,86.15,86.19,86.02,86.14,306
2069/12/15,85.95,86.22,85.95,86.13,761
2069/12/16,86.27,86.28,86.08,86.17,303
2069/12/17,86.18,86.41,86.14,86.18,1324
2069/12/18,86.22,86.5,86.16,86.34,1324
2069/12/19,86.69,86.75,86.4,86.52,3563
2069/12/20,86.52,86.58,86.22,86.37,1772
2069/12/21,86.38,86.62,86.38,86.54,888
2069/12/22,86.53,86.91,86.43,86.84,3177
2069/12/23,87,87.59,87,87.57,3334
2069/12/24,87.28,87.58,87.28,87.44,3013
2069/12/25,87.55,87.6,87.26,87.47,1941
2069/12/26,87.43,87.48,87.18,87.3,1035
2069/12/27,87.3,87.47,87.27,87.35,571
2069/12/28,87.39,87.45,86.89,87.1,1926
2069/12/29,87.2,87.39,87.12,87.31,594
2069/12/30,87.31,87.4,87.23,87.3,264
2069/12/31,87.37,87.37,87.1,87.22,370
2070/1/1,87.19,87.26,86.59,86.62,2342
2070/1/2,86.85,87.35,86.85,87.32,2192
2070/1/3,87.37,87.78,87.37,87.63,4982
2070/1/4,87.59,87.74,87.52,87.6,630
2070/1/5,87.85,87.86,87.63,87.72,1017
2070/1/6,87.54,87.75,87.52,87.74,424
2070/1/7,87.7,87.99,87.61,87.94,1937
2070/1/8,87.99,87.99,87.72,87.87,978
2070/1/9,87.83,87.98,87.68,87.93,572
2070/1/10,87.75,87.82,87.68,87.73,421
2070/1/11,87.6,87.72,87.54,87.66,576
2070/1/12,87.69,87.85,87.69,87.75,455
2070/1/13,87.69,87.88,87.62,87.66,1014
2070/1/14,87.79,87.87,87.7,87.78,484
2070/1/15,87.82,88.21,87.82,88.12,1265
2070/1/16,88.24,88.27,88.04,88.14,228
2070/1/17,88.14,88.4,88.09,88.27,1006
2070/1/18,88.26,88.28,88.16,88.23,399
2070/1/19,88.26,88.27,87.91,87.94,1290
2070/1/20,87.75,87.97,87.34,87.45,5035
2070/1/21,86.47,86.56,86.16,86.34,779
2070/1/22,86.4,86.5,86.29,86.45,138
2070/1/23,86.34,86.34,85.95,86.08,1582
2070/1/24,86.03,86.3,86.03,86.08,106
2070/1/25,86.18,86.6,86.14,86.48,1566
2070/1/26,86.81,87.23,86.67,87.22,4239
2070/1/27,87.16,87.5,87.11,87.3,3142
2070/1/28,87.24,87.52,87.13,87.42,2973
2070/1/29,87.87,88.7,87.82,88.66,4248
2070/1/30,88.7,89.1,88.46,88.7,3098
2070/1/31,88.74,89.07,88.62,88.78,1327
2070/2/1,88.9,89.05,88.4,88.5,1728
2070/2/2,87.93,88.5,87.7,88.4,2421
2070/2/3,88.5,88.8,88.5,88.75,2771
2070/2/4,88.78,88.78,88.54,88.64,1304
2070/2/5,88.05,88.05,87.6,87.8,3019
2070/2/6,88.05,88.19,87.9,87.98,2573
2070/2/7,88.04,88.47,87.69,88.41,1581
2070/2/8,88.38,88.5,88.04,88.21,370
2070/2/9,88.11,88.28,87.98,88.25,224
2070/2/10,88.14,88.43,88.14,88.3,634
2070/2/11,88.5,88.85,88.4,88.58,1165
2070/2/12,88.59,88.65,88.28,88.44,449
2070/2/13,88.42,88.51,88.35,88.4,449
2070/2/14,88.5,88.59,88.49,88.57,43
2070/2/15,88.46,88.82,88.46,88.49,1095
2070/2/16,88.61,88.77,88.6,88.66,389
2070/2/17,88.66,88.66,87.71,87.86,3553
2070/2/18,88.28,89.32,88.28,89.11,4192
2070/2/19,89.26,89.26,88.95,88.95,1059
2070/2/20,88.85,88.93,88.63,88.86,1022
2070/2/21,88.92,89.47,88.92,89.3,767
2070/2/22,89.43,89.55,89.13,89.38,377
2070/2/23,89.37,89.73,89.13,89.58,1439
2070/2/24,89.59,90,89.47,89.8,1303
2070/2/25,89.82,90.29,89.72,90.13,514
2070/2/26,90.16,90.32,89.7,89.72,2984
2070/2/27,89.72,90.15,89.72,89.91,903
2070/2/28,90.23,90.82,90.23,90.7,937
2070/3/1,91.34,91.53,91.17,91.5,3876
2070/3/2,91.72,92.38,91.72,92.34,4242
2070/3/3,92.29,92.65,92.17,92.41,2148
2070/3/4,92.35,92.35,91.76,92.05,1483
2070/3/5,92.26,92.87,92.25,92.63,1571
2070/3/6,93.15,93.37,92.85,93.04,2031
2070/3/7,93.29,93.45,92.58,92.93,4558
2070/3/8,92.78,92.97,92.52,92.71,2768
2070/3/9,92.99,93.1,92.65,92.92,1365
2070/3/10,93.08,93.3,92.92,93.01,1518
2070/3/11,93.1,93.2,92.9,93.19,1904
2070/3/12,93.2,93.56,93.04,93.26,689
2070/3/13,93.34,93.55,93.3,93.44,1100
2070/3/14,93.83,94.5,93.1,93.63,4685
2070/3/15,93.48,93.64,93.28,93.42,1370
2070/3/16,93.79,94.37,93.75,94.21,1370
2070/3/17,94.74,94.92,94.21,94.7,1051
2070/3/18,94.65,94.96,94.55,94.76,1039
2070/3/19,94.87,95.05,94.58,94.87,1905
2070/3/20,95.58,95.73,94.96,95.02,2396
2070/3/21,94.98,95.68,94.98,95.53,2221
2070/3/22,95.22,95.23,94.74,94.88,3078
2070/3/23,94.92,95.1,94.63,95,1104
2070/3/24,94.37,94.46,94.06,94.22,928
2070/3/25,94.4,94.52,94.2,94.22,458
2070/3/26,94.15,95.2,93.95,94.91,1845
2070/3/27,94.8,95.01,94.67,94.82,1367
2070/3/28,95.06,95.17,94.62,94.9,1037
2070/3/29,95.42,95.44,94.99,95.42,1994
2070/3/30,95.68,96.15,95.6,96.11,1174
2070/3/31,95.9,96.03,95.83,95.89,378
2070/4/1,95.95,96.23,95.88,95.91,2295
2070/4/2,95.97,96.3,95.95,96.14,1118
2070/4/3,95.91,95.94,95.53,95.56,2535
2070/4/4,95.58,95.83,95.57,95.68,1004
2070/4/5,95.77,95.8,95.06,95.11,3794
2070/4/6,95.25,95.82,95.1,95.81,2209
2070/4/7,95.83,95.9,95.2,95.36,2209
2070/4/8,95.4,95.53,95.1,95.44,629
2070/4/9,95.32,95.35,94.63,94.7,3260
2070/4/10,94.74,95.15,94.74,94.98,785
2070/4/11,94.92,95.55,94.45,95.49,3860
2070/4/12,95.4,95.44,94.83,95.04,1851
2070/4/13,95.29,95.29,94.91,94.98,662
2070/4/14,95.07,95.55,94.99,95.18,448
2070/4/15,95.26,95.36,95.02,95.11,1670
2070/4/16,94.76,94.85,94.33,94.38,3382
2070/4/17,94.45,94.52,93.85,94.47,1342
2070/4/18,94.15,94.36,93.69,93.84,2233
2070/4/19,94.1,94.53,94.08,94.51,1089
2070/4/20,94.45,94.45,93.96,94.07,1699
2070/4/21,94.33,94.94,94.33,94.92,2612
2070/4/22,95.22,96.04,95.22,95.95,2752
2070/4/23,96.18,96.26,95.96,96.11,2552
2070/4/24,96.32,96.78,96.27,96.73,1481
2070/4/25,96.4,96.53,96.11,96.36,791
2070/4/26,96.41,96.64,96.18,96.39,710
2070/4/27,96.42,96.79,96.36,96.75,273
2070/4/28,96.78,97,96.43,96.53,1934
2070/4/29,96.55,96.71,96.45,96.66,255
2070/4/30,96.35,96.65,96.33,96.49,1326
2070/5/1,96.34,96.35,96.02,96.05,1298
2070/5/2,95.69,95.88,95.47,95.54,1753
2070/5/3,95.81,96.38,95.8,96.33,1149
2070/5/4,96.24,96.33,96.12,96.19,261
2070/5/5,96.4,96.53,96.25,96.35,662
2070/5/6,96.4,97.01,96.35,96.9,2521
2070/5/7,97.16,97.19,96.82,97.17,1222
2070/5/8,97.04,97.19,96.7,96.76,1408
2070/5/9,96.8,97.23,96.8,97,371
2070/5/10,97.2,97.2,96.42,96.67,1306
2070/5/11,96.79,96.86,96.6,96.86,388
2070/5/12,96.88,97.17,96.86,97.06,1387
2070/5/13,96.87,96.88,96.19,96.34,1525
2070/5/14,96.48,96.48,96.08,96.38,591
2070/5/15,96.24,96.24,95.63,95.76,4240
2070/5/16,95.7,95.7,94.41,94.81,5189
2070/5/17,94.6,95.33,94.38,95.3,3311
2070/5/18,95.19,95.19,94.6,94.74,457
2070/5/19,95.08,95.18,94.34,94.36,2894
2070/5/20,94.35,94.59,93.84,94.24,2356
2070/5/21,94.55,94.55,93.93,94.11,780
2070/5/22,94.17,94.84,94.17,94.58,391
2070/5/23,93.87,94.1,92.93,93.07,1603
2070/5/24,93.34,93.96,93.29,93.89,1013
2070/5/25,94.15,94.35,93.9,94.24,1013
2070/5/26,94.1,94.2,93.99,94.12,244
2070/5/27,94.3,94.98,94.3,94.96,2231
2070/5/28,94.83,94.85,94.25,94.52,291
2070/5/29,94.67,94.91,94.4,94.56,484
2070/5/30,94.81,95.08,94.46,94.77,1154
2070/5/31,95.19,95.8,95.19,95.69,1746
2070/6/1,95.52,95.61,95.29,95.51,1695
2070/6/2,95.75,95.8,95.5,95.71,689
2070/6/3,95.45,95.6,95.44,95.58,124
2070/6/4,95.65,96.2,95.31,95.45,1525
2070/6/5,95.14,95.22,94.44,94.71,1361
2070/6/6,94.8,95.07,94.71,94.94,1987
2070/6/7,94.27,94.48,94.07,94.38,2718
2070/6/8,95,95.25,94.86,95.19,1368
2070/6/9,95.16,95.6,94.98,95.52,888
2070/6/10,95.42,95.42,94.91,95.13,932
2070/6/11,95.25,95.33,95.1,95.12,256
2070/6/12,94.86,95.19,94.8,95.18,440
2070/6/13,95.19,95.37,94.73,94.76,2316
2070/6/14,95,95.2,94.95,94.97,556
2070/6/15,95.12,95.12,94.55,94.56,2349
2070/6/16,94.54,94.99,94.54,94.89,923
2070/6/17,94.47,94.8,94.46,94.68,578
2070/6/18,94.66,94.85,94.6,94.68,186
2070/6/19,94.69,95.35,94.68,95.31,3901
