Index,Open,High,Low,Close,Volume
2072/9/3,100.1406021,100.1641006,100.1093979,100.1561966,3570
2072/9/4,100.1797028,100.1952972,100.1561966,100.1641006,2176
2072/9/5,100.1875,100.2188034,100.0311966,100.0391006,4238
2072/9/6,100.0547028,100.0547028,99.9531021,99.9766006,2111
2072/9/7,99.9688034,100.0625,99.9375,99.9766006,2645
2072/9/8,99.9766006,100,99.9375,99.9766006,2891
2072/9/9,100.0156021,100.1561966,100,100.0625,2468
2072/9/10,100.1093979,100.1172028,100.0547028,100.0858994,8037
2072/9/11,100.1641006,100.2343979,100.1406021,100.1483994,5457
2072/9/12,100.1327972,100.1327972,100.0625,100.1093979,2369
2072/9/13,100.1016006,100.1561966,100.0938034,100.125,1190
2072/9/14,100.1641006,100.1952972,100.0938034,100.1406021,2076
2072/9/15,100.1875,100.2188034,100.1718979,100.1718979,6007
2072/9/16,100.1561966,100.1875,100.1483994,100.1718979,7185
2072/9/17,100.2577972,100.3047028,100.1875,100.2891006,12410
2072/9/18,100.125,100.2188034,100.125,100.2031021,19644
2072/9/19,100.25,100.3125,100.2343979,100.2968979,17916
2072/9/20,100.3202972,100.4375,100.2811966,100.4297028,27446
2072/9/21,100.5547028,100.625,100.4688034,100.5702972,8038
2072/9/22,100.7343979,100.8358994,100.7031021,100.7343979,7002
2072/9/23,100.8281021,100.8516006,100.7811966,100.8125,7014
2072/9/24,100.8281021,101.0858994,100.8125,101.0702972,18362
2072/9/25,101.1406021,101.2577972,101.0702972,101.2188034,7440
2072/9/26,101.2031021,101.2266006,101.0702972,101.1797028,9270
2072/9/27,101.1797028,101.2188034,100.9688034,101.0938034,5662
2072/9/28,101.0625,101.0625,101.0233994,101.0391006,3270
2072/9/29,101.0156021,101.0391006,100.9452972,101.0391006,3767
2072/9/30,101.3202972,101.3438034,101.25,101.2968979,4623
2072/10/1,101.4688034,101.5547028,101.4375,101.5311966,8413
2072/10/2,101.5547028,101.7811966,101.5311966,101.7031021,9833
2072/10/3,101.6718979,101.7891006,101.6406021,101.7733994,3794
2072/10/4,101.6875,101.6952972,101.5391006,101.6093979,6459
2072/10/5,101.5702972,101.5938034,101.4843979,101.5233994,2667
2072/10/6,101.5311966,101.6327972,101.5233994,101.5781021,2105
2072/10/7,102.125,102.2188034,101.8125,101.8827972,8265
2072/10/8,102,102.2031021,102,102.1952972,11192
2072/10/9,102.3593979,102.5311966,102.125,102.4922028,9203
2072/10/10,102.3906021,102.6641006,102.375,102.6172028,12902
2072/10/11,102.5156021,102.5156021,102.2811966,102.3593979,14318
2072/10/12,102.3438034,102.3593979,102.1093979,102.1483994,6271
2072/10/13,102.1952972,102.2343979,102.1093979,102.1483994,10562
2072/10/14,102.1172028,102.125,101.8125,101.875,12604
2072/10/15,101.9688034,102.0233994,101.9061966,101.9141006,5462
2072/10/16,101.8202972,102.1016006,101.7656021,101.9922028,7525
2072/10/17,102.1483994,102.2188034,101.9843979,102.1952972,8748
2072/10/18,102.1406021,102.3125,102.0938034,102.1172028,5744
2072/10/19,102.1641006,102.2108994,102.1172028,102.1172028,4092
2072/10/20,102.1093979,102.2188034,101.9843979,101.9922028,6531
2072/10/21,101.9375,102.0311966,101.8827972,101.9766006,5838
2072/10/22,101.8827972,102.0938034,101.7188034,101.9922028,7674
2072/10/23,102.1093979,102.125,102.0156021,102.0233994,2569
2072/10/24,102.0625,102.0781021,102.0077972,102.0233994,4726
2072/10/25,102.0468979,102.2188034,102.0311966,102.1327972,9899
2072/10/26,102.2188034,102.3281021,102.125,102.3125,6144
2072/10/27,102.4531021,102.4688034,102.3438034,102.3672028,6478
2072/10/28,102.3516006,102.4061966,102.1718979,102.1797028,5902
2072/10/29,102.1718979,102.2188034,102.1172028,102.1561966,2432
2072/10/30,102.0938034,102.1406021,102.0468979,102.0702972,5041
2072/10/31,102.1718979,102.2031021,102.0938034,102.1093979,4603
2072/11/1,102.0625,102.1172028,101.9922028,102.0781021,4630
2072/11/2,102.125,102.2343979,102.1016006,102.1952972,7918
2072/11/3,102.2266006,102.2577972,102.1641006,102.1718979,1303
2072/11/4,102.1875,102.1952972,102.0156021,102.0625,6418
2072/11/5,102.0391006,102.0625,101.8672028,101.8906021,11941
2072/11/6,101.8438034,102.0702972,101.75,102.0468979,10035
2072/11/7,101.9922028,102.0625,101.9688034,102.0468979,5660
2072/11/8,102.0625,102.1641006,102.0311966,102.0702972,7268
2072/11/9,102.0938034,102.2266006,102.0781021,102.2108994,21087
2072/11/10,102.3047028,102.375,102.2422028,102.3281021,23584
2072/11/11,102.2968979,102.4688034,102.2968979,102.4608994,30116
2072/11/12,102.5311966,102.5938034,102.4688034,102.4766006,23338
2072/11/13,102.5781021,102.5781021,102.3438034,102.5311966,7426
2072/11/14,102.7031021,102.7656021,102.5625,102.6483994,11438
2072/11/15,102.5938034,102.6718979,102.4531021,102.5,10272
2072/11/16,102.5233994,102.5233994,102.4452972,102.4843979,4627
2072/11/17,102.4688034,102.5625,102.4141006,102.5233994,6932
2072/11/18,102.5468979,102.6406021,102.5311966,102.6172028,5364
2072/11/19,102.7108994,102.7422028,102.6406021,102.6483994,4064
2072/11/20,102.6483994,102.6641006,102.4843979,102.5625,10383
2072/11/21,102.5858994,102.6875,102.5781021,102.6172028,4961
